ticket_id,created,company,contact_email,plan,category,subject,description,severity,status
FW-1025,2026-01-13,Northfield Analytics,,Growth,Refund,Downgrade refund question,We're moving from 50 to 30 seats effective Feb 1. Do we get a prorated credit for the 20 seats for the rest of January?,Medium,Open
FW-1026,13-Jan-2026,Tidewell Health Partners,,Enterprise,Billing,Still seeing intermittent 500 errors,Follow-up to FW-1010 - the outage seems mostly resolved but a few of our team are still hitting occasional 500 errors on the dashboard page.,High,Open
FW-1027,2026-01-13,Bramwell Logistics,ops@bramwell-log.com,,Billing,Mobile app crashes on opening a board,Android app crashes immediately whenever anyone tries to open our 'Q1 Rollout' board specifically. Other boards open fine.,Medium,Open
FW-1028,14-Jan-2026,Harrow & Vance LLP,d.vance@harrowvance.com,,Login,Two users locked out after failed 2FA attempts,Two paralegals are locked out after too many failed 2FA codes. They need access back today for a filing deadline.,High,Open
FW-1029,2026-01-14,Solace Dental Group,priya.n@solacedental.com,Starter,Refund,Still waiting on refund status,It's been a week since we filed FW-1002 - we sent it twice. Can someone please confirm whether this is approved?,Medium,Open
FW-1030,14-Jan-2026,Kestrel Freight Co,ops2@kestrelfreight.com,Growth,General,How many seats are we currently using?,,,Closed
FW-1031,2026-01-15,Marrow Creative Agency,jen@marrowcreative.io,,Refund,Cancelling within trial-adjacent window,We upgraded from the free trial to paid Starter on Jan 3 and want to cancel and get a refund. It's been under 2 weeks.,Medium,Open
FW-1032,15-Jan-2026,Coppervale Retail Group,it@coppervale-retail.com,Starter,Feature Request,Bulk import from spreadsheet,Onboarding 40 new tasks by hand is painful. Is there a way to bulk import from a CSV or Excel file?,,Open
FW-1033,2026-01-15,Pixel & Pine Studio,tom@pixelpine.co,Enterprise,Technical,Custom workflow stopped applying approval step,Our design-review workflow used to require manager approval before a task could move to 'Done'. That step silently disappeared this week.,Medium,Open
FW-1034,15-Jan-2026,Thistledown Care Homes,admin@thistledown.org,Starter,General,Following up on FW-1021,Any update on our refund request? We'd like to close this out one way or the other.,Medium,Open
FW-1035,2026-01-16,Alder & Finch Consulting,r.finch@alderfinch.com,,Refund,Cancelling after CSM call,We spoke with our CSM (ref FW-1023) and have decided to cancel anyway. Please advise on refund terms per our MSA.,Medium,Open
FW-1036,16-Jan-2026,Northfield Analytics,,,Integration,Slack integration duplicate posting,Opposite problem from FW-1003 now - every update is posting twice to Slack instead of not posting at all.,Medium,Open
FW-1037,2026-01-16,Bramwell Logistics,ops@bramwell-log.com,Growth,Billing,Payment method declined,Our card on file was declined for the Jan billing cycle. Need to update payment details and confirm we're not at risk of suspension.,High,Open
FW-1038,16-Jan-2026,Kestrel Freight Co,ops2@kestrelfreight.com,Growth,Feature Request,Time tracking per task,Would like an optional timer or manual time-log field per task for internal billing purposes.,,Open
FW-1039,2026-01-17,Harrow & Vance LLP,d.vance@harrowvance.com,Enterprise,Login,"2FA issue resolved, thank you",IT got everyone back in. Closing this one out - thanks for the fast turnaround yesterday.,Low,Closed
FW-1040,17-Jan-2026,Coppervale Retail Group,it@coppervale-retail.com,Starter,General,Where is the permissions page?,,,Open
FW-1041,2026-01-17,Tidewell Health Partners,,,Refund,Requesting service credit for outage,"Given FW-1010 and FW-1026, we'd like to discuss a service credit for the disruption, per our SLA terms.",Medium,Open
FW-1042,17-Jan-2026,Marrow Creative Agency,jen@marrowcreative.io,Starter,Technical,Board loads very slowly,The 'Client Delivery' board with about 300 tasks takes 15-20 seconds to load. Other smaller boards are fine.,Low,Open
FW-1043,2026-01-18,Solace Dental Group,priya.n@solacedental.com,Starter,General,"Refund resolved, closing ticket",Support confirmed the refund is processing. Thanks for sorting this out.,Low,Closed
FW-1044,18-Jan-2026,Pixel & Pine Studio,tom@pixelpine.co,,Feature Request,Version history on task descriptions,When multiple people edit a task description we have no way to see who changed what. An edit history would help a lot.,,Open
FW-1045,2026-01-18,Bramwell Logistics,ops@bramwell-log.com,Enterprise,Refund,Refund for declined-payment suspension days,Following up on FW-1037 - our workspace was suspended for 2 days while we sorted the card issue. Can we get a credit for those days?,Medium,Open
FW-1046,18-Jan-2026,Kestrel Freight Co,ops2@kestrelfreight.com,Growth,General,Best practice for structuring boards by region?,,,Open
FW-1047,2026-01-19,Northfield Analytics,,Growth,Billing,Cannot access workspace at all this morning,"Getting a blank white screen since about 8am today, no error message, just blank. Whole team affected.",Critical,Open
FW-1048,19-Jan-2026,Thistledown Care Homes,admin@thistledown.org,Starter,Refund,Still no update after two follow-ups,"This is our third message (FW-1021, FW-1034) asking about our refund. We need a real answer today.",High,Open
FW-1049,2026-01-19,Coppervale Retail Group,it@coppervale-retail.com,Growth,Billing,Zapier connection failing,"Not sure if this is officially supported, but our Zapier link to Fernway has been failing with an auth error since yesterday.",Medium,Open
FW-1050,19-Jan-2026,Alder & Finch Consulting,r.finch@alderfinch.com,,General,Confirming next invoice date after cancellation,"Following FW-1035, just want written confirmation of our exact cancellation-effective date and final invoice.",Low,Open
FW-1051,2026-01-20,Harrow & Vance LLP,d.vance@harrowvance.com,Enterprise,Feature Request,Client-facing read-only portal,We'd like a way to share a read-only view of a board with clients who don't have Fernway accounts.,,Open
FW-1052,20-Jan-2026,Marrow Creative Agency,jen@marrowcreative.io,Starter,Technical,Attachments failing to upload,"PDF and PNG uploads over roughly 5MB fail silently - no error, the attachment just never appears.",Medium,Open
FW-1053,2026-01-20,Tidewell Health Partners,,,General,Requesting SLA documentation for our records,Our compliance team needs a copy of the formal SLA terms tied to our Enterprise contract for an internal audit.,Low,Open
FW-1054,20-Jan-2026,Kestrel Freight Co,ops2@kestrelfreight.com,Growth,Refund,Wrong plan billed,We were quoted and agreed to Growth pricing but the invoice shows Enterprise-tier charges. Please correct and refund the difference.,High,Open
FW-1055,2026-01-21,Pixel & Pine Studio,tom@pixelpine.co,Enterprise,Outage,Approval workflow issue is now blocking all task completions,Escalating FW-1033 - this has gotten worse and now NO tasks can be marked Done company-wide. Full stop on our delivery pipeline.,Critical,Open
